date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2026-01-14,5d90bdae662d43e22a8cb42ce68d0112,Charleston Southern Buccaneers -2.5,4.154592818570979,13,19,-108,l,Charleston Southern Buccaneers,South Carolina Upstate Spartans
2026-01-14,e08e023be9d9c88168f9fff798a46300,Under 129.5,3.6287365337070523,10,19,-112,w,Canisius Golden Griffins,Niagara Purple Eagles
2026-01-15,883ec2ac013d3c064a1728d8d8a35021,Over 157.5,9.537024882235784,19,19,-110,w,IUPUI Jaguars,Robert Morris Colonials
2026-01-15,3d529baf565fc02ba20ceb5634977c44,Albany Great Danes -2.5,8.968439147296337,19,19,-120,w,Albany Great Danes,Binghamton Bearcats
2026-01-15,b4d6d89b6ff40dbd2e3be8e7f9d31490,Under 141.5,7.799046963490619,19,19,-110,w,Utah Tech Trailblazers,UT-Arlington Mavericks
2026-01-15,d0627ebaa93dd7e92ba40e34b5c0d613,Under 141.5,5.510015934344122,18,19,-110,w,Towson Tigers,Charleston Cougars
2026-01-15,7c821ffba719289731811c934d464937,UMass Lowell River Hawks -4.5,3.455582423267604,12,19,-120,l,UMass Lowell River Hawks,NJIT Highlanders
2026-01-16,1a9c134ca3f6c3932a88364fd62e7d9e,Under 147.5,4.72128302077493,17,17,-105,w,Ball State Cardinals,Ohio Bobcats
2026-01-17,a8e0fb85907a13e294fa4997dad1a88e,Mercyhurst Lakers +5.5,12.524005548110894,19,19,-110,w,Mercyhurst Lakers,Stonehill Skyhawks
2026-01-17,9ea8d4f6a71bbdf9c9f4ea01312c3761,Under 130.5,10.861091678817264,19,19,-110,w,Valparaiso Beacons,Northern Iowa Panthers
2026-01-17,854f821d307e3e594121bef404417257,Over 147.5,10.685062150065624,19,19,-112,l,Arkansas-Pine Bluff Golden Lions,Florida A&M Rattlers
2026-01-17,f86a4e1db2c06294dccffc5656343695,Over 169.5,7.335642342238972,17,19,-108,l,IUPUI Jaguars,Detroit Mercy Titans
2026-01-18,95993fd246611e40ddaac95a35c494d1,Under 134.5,6.171972245563478,19,19,-106,w,Tulane Green Wave,North Texas Mean Green
2026-01-19,3fbbbd878e1ecf2ed335b50ae41bce4b,Under 135.5,9.412430413987295,19,19,-110,w,Marist Red Foxes,Merrimack Warriors
2026-01-19,6843f58e34e783cc84738dfff2e7b199,Under 125.5,6.525904581422525,19,19,-106,w,Towson Tigers,Drexel Dragons
2026-01-19,e92de282f684788a18628030ef38df38,Stephen F. Austin Lumberjacks +1.5,5.746510628342515,19,19,-120,w,Nicholls St Colonels,Stephen F. Austin Lumberjacks
2026-01-19,6c293e21c17a9455b12ff1b2d2ffa9b6,Over 139.5,3.976036544914989,14,19,-115,l,Fairleigh Dickinson Knights,Wagner Seahawks
